"distance","same"
81.0425288151993,0
81.1464843710371,1
81.1849484885438,0
81.3483883196784,1
81.8177983252063,1
82.0160272937176,0
82.0341321848118,1
82.3223038982078,1
82.7199155439908,0
83.0042800277999,0
83.3316762646724,0
83.411697320532,1
83.4423191424212,1
84.0263233975196,1
84.165581437592,0
84.2941142273734,0
84.4466531746419,0
84.5625981738677,0
84.7193630671143,1
84.9199041283278,1
85.220369039603,1
86.0823301382722,1
86.1549538571405,0
86.2642590641925,1
86.7018101963594,1
86.8495746324433,0
87.2863130899448,1
87.2875786725838,0
87.3230573910053,1
87.3315401083825,1
87.3349400561113,1
87.4549964040804,1
88.5293743539604,1
88.6384765136286,0
88.83053886805,0
89.0259208682588,1
89.2504170721731,0
89.3536255473379,1
89.6644567811643,1
89.6956995510864,0
90.1185001274297,1
90.1714575179071,1
90.2716155454445,1
90.5049165954094,1
90.633241051894,1
90.6827035180576,1
90.8591384926815,1
90.918697171336,1
91.2378975907113,0
91.4426278995192,1
91.4654054593924,0
91.9148790171733,0
92.0980880077879,1
92.6857206752941,1
93.3623114496355,1
93.4147685317823,1
93.5834660600939,1
93.8265675171875,0
94.1024142350845,1
94.3549680062735,1
95.2564315783281,1
95.6738939326698,1
95.6940320733213,0
95.7683207511915,1
95.8239113885033,0
96.0535094421615,1
96.2247905102247,1
96.5851740008292,1
97.1672399939549,1
97.2117055683362,0
97.416827926084,0
97.6648369394687,1
97.9256272042407,1
98.5724826557639,1
98.7078760128831,1
98.7655631172202,1
98.8671990614774,1
98.9037521431114,1
99.0745761981745,1
99.4213852043161,0
99.4340556724379,0
99.5817038987553,0
99.5817038987553,1
99.9065268467055,1
99.9135518831402,1
99.9897947398455,1
100.190506796817,1
100.200701515388,1
100.358541697643,0
100.842855346765,1
100.847273898752,1
100.90381057549,1
101.149393575789,0
101.671726390888,1
101.850209409327,1
102.679381974551,1
103.181471165002,0
103.274397397083,0
103.274397397083,1
103.308082502452,1
103.344654344902,0
103.462161790936,1
103.71452344813,1
103.824665030412,1
104.031443388223,1
104.533505946005,1
104.553501861013,1
104.812645387238,1
104.842513168374,1
105.015788199561,1
105.093765245926,1
106.072139063342,0
107.053611147618,1
107.220801449261,1
107.363202710762,1
107.752548362274,1
107.838413631243,0
108.149535153101,0
108.175055220729,1
108.242685366666,1
108.284242869074,1
108.284242869074,1
108.421746506286,1
108.438473633938,0
108.518742235491,1
108.555224248659,0
109.034980728682,1
109.093272090717,1
109.22820742069,1
109.278045819206,0
109.314318414174,1
109.387071837714,1
109.957772365513,0
110.107830298354,1
110.434198331633,1
110.660908112561,0
110.940010942808,1
111.041026999825,1
111.11666977405,1
111.40270843848,1
111.949721989142,0
112.232162767635,1
112.25661426893,1
112.699880528885,1
113.442403507482,1
113.481755698923,0
113.513188004768,0
113.561995633658,1
113.942389798337,1
114.010307832621,1
114.08666055098,1
114.1728492733,1
114.828661295361,1
115.231880927187,1
115.513360984756,1
115.555334700992,1
115.682635270277,1
115.906433552243,0
116.117901092686,1
116.319608182904,1
116.465316233591,1
116.78160432553,1
116.843497481146,1
117.186081431241,1
117.621267918797,1
117.73150937758,0
117.836500115128,1
117.860342254311,1
118.090206884766,1
118.134861148632,0
118.147317061295,1
118.213726787598,1
118.430957636495,1
118.470005414218,1
118.693657546992,1
118.736125721945,1
118.950149750667,1
119.413403707679,1
119.539259650014,1
119.638821920953,1
119.686856977341,1
119.811783838695,1
119.956917412969,1
120.025338273645,1
120.209642577097,1
120.450844831376,1
120.711853736545,1
120.979946042698,1
121.506466400213,1
121.834620235331,1
121.928261195616,1
121.93263686525,1
122.151520354372,0
122.193841094608,1
122.200206853496,1
122.247537129272,0
122.409608609227,1
122.437598955019,1
122.437598955019,1
122.578294362665,1
122.580529878952,1
122.861577008697,1
122.886855071816,1
122.924767459253,1
123.102890865221,1
123.271904823457,0
123.357934261745,1
123.968245208896,1
124.334947313217,1
124.400916234994,1
124.498576379651,1
124.777490500439,0
124.791490739347,1
124.819352928818,1
124.872875028264,1
125.174934441463,0
125.406201938828,1
125.486052648084,0
125.550097264165,0
125.681213470251,1
125.753773290316,1
125.972566749649,1
126.142890851366,1
126.152013845378,1
126.156196514489,1
126.245811893867,0
126.290652944402,1
126.356289325332,0
126.455739985099,1
126.480046495583,0
126.818089526718,1
127.157232311436,0
127.252484619787,1
127.334323001417,1
128.046058891231,1
128.653870186805,1
129.068789043541,1
129.10598323849,1
129.333419669853,1
130.017530894079,0
130.059574201986,1
130.580565991228,1
130.709041559436,1
130.831833729859,1
131.025184843819,1
131.104861683042,1
131.611784642825,1
131.633238872908,1
131.664119198053,1
131.948801767575,1
131.980487534166,1
